Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-20,Andaman and Nicobar Islands,Unknown,47,35,0,0,13320.0
2020-06-20,Andhra Pradesh,Anantapur,789,230,6,0,49517.0
2020-06-20,Andhra Pradesh,Chittoor,515,268,5,0,47839.0
2020-06-20,Andhra Pradesh,East Godavari,485,267,5,0,72244.0
2020-06-20,Andhra Pradesh,Foreign Evacuees,326,49,0,0,
2020-06-20,Andhra Pradesh,Guntur,742,493,11,0,47387.0
2020-06-20,Andhra Pradesh,Krishna,982,428,33,0,54174.0
2020-06-20,Andhra Pradesh,Kurnool,1247,729,33,0,53815.0
2020-06-20,Andhra Pradesh,Other State,1506,859,0,0,
2020-06-20,Andhra Pradesh,Prakasam,175,95,2,0,43483.0
2020-06-20,Andhra Pradesh,S.P.S. Nellore,459,242,4,0,39581.0
2020-06-20,Andhra Pradesh,Srikakulam,59,22,1,0,72083.0
2020-06-20,Andhra Pradesh,Visakhapatnam,261,151,1,0,50055.0
2020-06-20,Andhra Pradesh,Vizianagaram,78,31,0,0,28883.0
2020-06-20,Andhra Pradesh,West Godavari,498,105,0,0,41927.0
2020-06-20,Andhra Pradesh,Y.S.R. Kadapa,330,142,0,0,49557.0
2020-06-20,Arunachal Pradesh,Anjaw,0,0,0,0,150.0
2020-06-20,Arunachal Pradesh,Changlang,70,2,0,0,2854.0
2020-06-20,Arunachal Pradesh,Dibang Valley,0,0,0,0,10.0
2020-06-20,Arunachal Pradesh,East Kameng,0,0,0,0,168.0
2020-06-20,Arunachal Pradesh,East Siang,9,0,0,0,1722.0
2020-06-20,Arunachal Pradesh,Kamle,0,0,0,0,50.0
2020-06-20,Arunachal Pradesh,Kra-Daadi,0,0,0,0,13.0
2020-06-20,Arunachal Pradesh,Kurung Kumey,0,0,0,0,11.0
2020-06-20,Arunachal Pradesh,Lepa Rada,0,0,0,0,114.0
2020-06-20,Arunachal Pradesh,Lohit,4,1,0,0,857.0
2020-06-20,Arunachal Pradesh,Longding,1,1,0,0,514.0
2020-06-20,Arunachal Pradesh,Lower Dibang Valley,3,0,0,0,678.0
2020-06-20,Arunachal Pradesh,Lower Siang,1,0,0,0,354.0
2020-06-20,Arunachal Pradesh,Lower Subansiri,0,0,0,0,408.0
2020-06-20,Arunachal Pradesh,Namsai,4,2,0,0,1151.0
2020-06-20,Arunachal Pradesh,Pakke Kessang,1,1,0,0,168.0
2020-06-20,Arunachal Pradesh,Papum Pare,24,6,0,0,5539.0
2020-06-20,Arunachal Pradesh,Shi Yomi,0,0,0,0,53.0
2020-06-20,Arunachal Pradesh,Siang,0,0,0,0,99.0
2020-06-20,Arunachal Pradesh,Tawang,1,0,0,0,642.0
2020-06-20,Arunachal Pradesh,Tirap,3,1,0,0,969.0
2020-06-20,Arunachal Pradesh,Upper Siang,1,1,0,0,334.0
2020-06-20,Arunachal Pradesh,Upper Subansiri,0,0,0,0,281.0
2020-06-20,Arunachal Pradesh,West Kameng,12,0,0,0,970.0
2020-06-20,Arunachal Pradesh,West Siang,1,0,0,0,412.0
2020-06-20,Assam,Airport Quarantine,4,0,0,0,
2020-06-20,Assam,Baksa,77,0,0,0,
2020-06-20,Assam,Barpeta,147,55,0,0,
2020-06-20,Assam,Biswanath,56,16,0,0,
2020-06-20,Assam,Bongaigaon,24,7,0,0,
2020-06-20,Assam,Cachar,98,82,0,0,
2020-06-20,Assam,Charaideo,16,0,0,0,
2020-06-20,Assam,Chirang,52,0,0,0,
2020-06-20,Assam,Darrang,102,0,0,0,
2020-06-20,Assam,Dhemaji,93,6,0,0,
2020-06-20,Assam,Dhubri,330,5,0,0,
2020-06-20,Assam,Dibrugarh,72,5,0,0,
2020-06-20,Assam,Dima Hasao,89,9,0,0,
2020-06-20,Assam,Goalpara,57,4,0,0,
2020-06-20,Assam,Golaghat,270,88,0,0,
2020-06-20,Assam,Hailakandi,78,5,1,0,
2020-06-20,Assam,Hojai,267,0,0,0,
2020-06-20,Assam,Jorhat,121,54,0,0,
2020-06-20,Assam,Kamrup,212,21,0,0,
2020-06-20,Assam,Kamrup Metropolitan,617,339,4,0,
2020-06-20,Assam,Karbi Anglong,39,7,0,0,
2020-06-20,Assam,Karimganj,99,20,0,0,
2020-06-20,Assam,Kokrajhar,83,10,0,0,
2020-06-20,Assam,Lakhimpur,82,6,0,0,
2020-06-20,Assam,Majuli,19,0,0,0,
2020-06-20,Assam,Morigaon,49,28,0,0,
2020-06-20,Assam,Nagaon,296,25,0,0,
2020-06-20,Assam,Nalbari,26,9,0,0,
2020-06-20,Assam,Other State,1,1,0,0,
2020-06-20,Assam,Sivasagar,29,26,0,0,
2020-06-20,Assam,Sonitpur,84,35,0,0,
2020-06-20,Assam,South Salmara Mankachar,7,1,0,0,
2020-06-20,Assam,Tinsukia,103,6,0,0,
2020-06-20,Assam,Udalguri,100,2,0,0,
2020-06-20,Assam,Unknown,1428,2331,4,3,
2020-06-20,Assam,West Karbi Anglong,28,0,0,0,
2020-06-20,Bihar,Araria,103,81,1,0,
2020-06-20,Bihar,Arwal,91,57,0,0,
2020-06-20,Bihar,Aurangabad,168,123,1,0,
2020-06-20,Bihar,Banka,202,130,0,0,
2020-06-20,Bihar,Begusarai,347,275,3,0,5822.0
2020-06-20,Bihar,Bhagalpur,351,266,1,0,
2020-06-20,Bihar,Bhojpur,150,127,2,0,
2020-06-20,Bihar,Buxar,200,137,0,0,
2020-06-20,Bihar,Darbhanga,216,140,5,0,
2020-06-20,Bihar,East Champaran,167,146,1,0,
2020-06-20,Bihar,Gaya,172,122,1,0,
2020-06-20,Bihar,Gopalganj,210,136,0,0,
2020-06-20,Bihar,Jamui,56,34,1,0,
2020-06-20,Bihar,Jehanabad,217,182,2,0,
2020-06-20,Bihar,Kaimur,148,86,0,0,
2020-06-20,Bihar,Katihar,257,207,1,0,
2020-06-20,Bihar,Khagaria,296,271,3,0,3226.0
2020-06-20,Bihar,Kishanganj,132,115,0,0,1432.0
2020-06-20,Bihar,Lakhisarai,85,67,0,0,
2020-06-20,Bihar,Madhepura,153,111,1,0,
2020-06-20,Bihar,Madhubani,341,161,1,0,
2020-06-20,Bihar,Munger,296,208,1,0,
2020-06-20,Bihar,Muzaffarpur,205,157,2,0,2893.0
2020-06-20,Bihar,Nalanda,165,129,3,0,
2020-06-20,Bihar,Nawada,200,174,2,0,
2020-06-20,Bihar,Patna,396,223,2,0,
2020-06-20,Bihar,Purnia,255,208,0,0,3638.0
2020-06-20,Bihar,Rohtas,309,267,1,0,
2020-06-20,Bihar,Saharsa,134,88,0,0,
2020-06-20,Bihar,Samastipur,211,100,1,0,
2020-06-20,Bihar,Saran,183,123,4,0,
2020-06-20,Bihar,Sheikhpura,130,85,0,0,
2020-06-20,Bihar,Sheohar,74,51,1,0,
2020-06-20,Bihar,Sitamarhi,121,100,2,0,
2020-06-20,Bihar,Siwan,309,115,2,0,
2020-06-20,Bihar,Supaul,197,165,0,0,
2020-06-20,Bihar,Vaishali,126,97,3,0,
2020-06-20,Bihar,West Champaran,130,103,1,0,
2020-06-20,Chandigarh,Chandigarh,404,316,6,0,6578.0
2020-06-20,Chhattisgarh,Balod,44,41,0,0,2749.0
2020-06-20,Chhattisgarh,Baloda Bazar,202,117,0,0,3816.0
2020-06-20,Chhattisgarh,Balrampur,100,65,0,0,2276.0
2020-06-20,Chhattisgarh,Bametara,41,27,0,0,3113.0
2020-06-20,Chhattisgarh,Bastar,5,3,1,0,4522.0
2020-06-20,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-20,Chhattisgarh,Bilaspur,171,141,2,0,9823.0
2020-06-20,Chhattisgarh,Dakshin Bastar Dantewada,2,0,0,0,1168.0
2020-06-20,Chhattisgarh,Dhamtari,8,6,1,0,1501.0
2020-06-20,Chhattisgarh,Durg,93,42,3,0,5020.0
2020-06-20,Chhattisgarh,Gariaband,22,9,0,0,2096.0
2020-06-20,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-20,Chhattisgarh,Janjgir Champa,205,87,0,0,4016.0
2020-06-20,Chhattisgarh,Jashpur,104,79,0,0,2542.0
2020-06-20,Chhattisgarh,Kabeerdham,91,78,0,0,2829.0
2020-06-20,Chhattisgarh,Kondagaon,3,1,0,0,1607.0
2020-06-20,Chhattisgarh,Korba,259,162,0,0,10034.0
2020-06-20,Chhattisgarh,Koriya,54,42,0,0,2689.0
2020-06-20,Chhattisgarh,Mahasamund,77,61,1,0,2183.0
2020-06-20,Chhattisgarh,Mungeli,119,103,0,0,2922.0
2020-06-20,Chhattisgarh,Narayanpur,6,0,0,0,804.0
2020-06-20,Chhattisgarh,Other State,1,1,0,0,
2020-06-20,Chhattisgarh,Raigarh,83,64,1,0,5084.0
2020-06-20,Chhattisgarh,Raipur,196,100,1,0,12704.0
2020-06-20,Chhattisgarh,Rajnandgaon,157,70,1,0,5571.0
2020-06-20,Chhattisgarh,Sukma,3,0,0,0,1723.0
2020-06-20,Chhattisgarh,Surajpur,17,17,0,0,1830.0
2020-06-20,Chhattisgarh,Surguja,42,25,0,0,2008.0
2020-06-20,Chhattisgarh,Uttar Bastar Kanker,26,24,0,0,2051.0
2020-06-20,Delhi,Delhi,56746,31294,2112,0,351909.0
2020-06-20,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,55,26,0,0,
2020-06-20,Dadra and Nagar Haveli and Daman and Diu,Daman,27,0,0,0,
2020-06-20,Dadra and Nagar Haveli and Daman and Diu,Diu,10,0,0,0,
2020-06-20,Goa,North Goa,17,6,0,0,
2020-06-20,Goa,Other State,78,6,0,0,
2020-06-20,Goa,South Goa,608,66,0,0,
2020-06-20,Goa,Unknown,51,51,0,0,
2020-06-20,Gujarat,Ahmedabad,18564,13185,1312,0,117192.0
2020-06-20,Gujarat,Amreli,40,13,4,0,4467.0
2020-06-20,Gujarat,Anand,146,126,13,0,4517.0
2020-06-20,Gujarat,Aravalli,167,129,14,0,3408.0
2020-06-20,Gujarat,Banaskantha,163,139,8,0,6648.0
2020-06-20,Gujarat,Bharuch,136,53,6,0,3675.0
2020-06-20,Gujarat,Bhavnagar,189,128,13,0,8285.0
2020-06-20,Gujarat,Botad,71,56,2,0,2795.0
2020-06-20,Gujarat,Chhota Udaipur,41,35,1,0,4777.0
2020-06-20,Gujarat,Dahod,51,43,0,0,5467.0
2020-06-20,Gujarat,Dang,4,4,0,0,1158.0
2020-06-20,Gujarat,Devbhumi Dwarka,19,14,0,0,3159.0
2020-06-20,Gujarat,Gandhinagar,548,331,23,0,7591.0
2020-06-20,Gujarat,Gir Somnath,53,46,0,0,3354.0
2020-06-20,Gujarat,Jamnagar,117,63,3,0,7713.0
2020-06-20,Gujarat,Junagadh,57,34,1,0,12836.0
2020-06-20,Gujarat,Kheda,128,86,5,0,4752.0
2020-06-20,Gujarat,Kutch,101,78,5,0,5820.0
2020-06-20,Gujarat,Mahisagar,124,107,2,0,3911.0
2020-06-20,Gujarat,Mehsana,209,124,11,0,3018.0
2020-06-20,Gujarat,Morbi,10,5,1,0,3346.0
2020-06-20,Gujarat,Narmada,46,23,0,0,3325.0
2020-06-20,Gujarat,Navsari,48,32,1,0,4155.0
2020-06-20,Gujarat,Other State,57,8,1,0,108.0
2020-06-20,Gujarat,Panchmahal,135,103,15,0,5209.0
2020-06-20,Gujarat,Patan,140,92,10,0,3846.0
2020-06-20,Gujarat,Porbandar,14,10,2,0,2642.0
2020-06-20,Gujarat,Rajkot,181,95,5,0,7840.0
2020-06-20,Gujarat,Sabarkantha,148,98,7,0,4656.0
2020-06-20,Gujarat,Surat,3057,2190,120,0,39884.0
2020-06-20,Gujarat,Surendranagar,86,49,4,0,5558.0
2020-06-20,Gujarat,Tapi,10,5,0,0,3135.0
2020-06-20,Gujarat,Vadodara,1813,1155,47,0,16173.0
2020-06-20,Gujarat,Valsad,64,43,3,0,4994.0
2020-06-20,Himachal Pradesh,Bilaspur,32,23,0,0,
2020-06-20,Himachal Pradesh,Chamba,43,34,0,1,
2020-06-20,Himachal Pradesh,Hamirpur,166,109,1,0,
2020-06-20,Himachal Pradesh,Kangra,170,114,2,0,
2020-06-20,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-20,Himachal Pradesh,Kullu,5,3,0,0,
2020-06-20,Himachal Pradesh,Mandi,23,19,2,0,
2020-06-20,Himachal Pradesh,Shimla,30,13,2,1,
2020-06-20,Himachal Pradesh,Sirmaur,30,10,0,7,
2020-06-20,Himachal Pradesh,Solan,74,30,0,4,
2020-06-20,Himachal Pradesh,Una,80,49,0,0,
2020-06-20,Himachal Pradesh,Unknown,0,0,0,-3,
2020-06-20,Haryana,Ambala,269,153,3,0,
2020-06-20,Haryana,Bhiwani,201,81,3,0,
2020-06-20,Haryana,Charkhi Dadri,60,43,1,0,
2020-06-20,Haryana,Faridabad,2100,707,52,0,19110.0
2020-06-20,Haryana,Fatehabad,92,55,0,0,
2020-06-20,Haryana,Foreign Evacuees,21,5,0,0,
2020-06-20,Haryana,Gurugram,4307,2409,59,0,22723.0
2020-06-20,Haryana,Hisar,184,94,1,0,
2020-06-20,Haryana,Italians,14,14,0,0,
2020-06-20,Haryana,Jhajjar,180,112,2,0,
2020-06-20,Haryana,Jind,84,36,3,0,
2020-06-20,Haryana,Kaithal,66,52,0,0,
2020-06-20,Haryana,Karnal,214,107,3,0,
2020-06-20,Haryana,Kurukshetra,102,62,0,0,
2020-06-20,Haryana,Mahendragarh,173,96,0,0,
2020-06-20,Haryana,Nuh,133,111,0,0,
2020-06-20,Haryana,Palwal,259,142,1,0,
2020-06-20,Haryana,Panchkula,87,40,0,0,
2020-06-20,Haryana,Panipat,118,82,5,0,
2020-06-20,Haryana,Rewari,148,12,0,0,
2020-06-20,Haryana,Rohtak,421,196,6,0,
2020-06-20,Haryana,Sirsa,82,61,0,0,
2020-06-20,Haryana,Sonipat,826,424,10,0,
2020-06-20,Haryana,Yamunanagar,82,34,0,0,
2020-06-20,Jharkhand,Bokaro,29,27,2,0,
2020-06-20,Jharkhand,Chatra,41,30,0,0,
2020-06-20,Jharkhand,Deoghar,10,10,0,0,
2020-06-20,Jharkhand,Dhanbad,114,109,0,0,
2020-06-20,Jharkhand,Dumka,4,4,0,0,
2020-06-20,Jharkhand,East Singhbhum,309,152,0,0,
2020-06-20,Jharkhand,Garhwa,97,84,0,0,
2020-06-20,Jharkhand,Giridih,57,50,1,0,
2020-06-20,Jharkhand,Godda,1,1,0,0,
2020-06-20,Jharkhand,Gumla,94,53,1,0,
2020-06-20,Jharkhand,Hazaribagh,163,122,1,0,
2020-06-20,Jharkhand,Jamtara,28,20,0,0,
2020-06-20,Jharkhand,Khunti,22,22,0,0,
2020-06-20,Jharkhand,Koderma,157,77,1,0,
2020-06-20,Jharkhand,Latehar,54,46,0,0,
2020-06-20,Jharkhand,Lohardaga,48,37,0,0,
2020-06-20,Jharkhand,Pakur,30,30,0,0,
2020-06-20,Jharkhand,Palamu,45,44,0,0,
2020-06-20,Jharkhand,Ramgarh,115,88,0,0,
2020-06-20,Jharkhand,Ranchi,195,139,5,0,
2020-06-20,Jharkhand,Sahibganj,3,3,0,0,
2020-06-20,Jharkhand,Saraikela-Kharsawan,36,23,0,0,
2020-06-20,Jharkhand,Simdega,317,207,0,0,
2020-06-20,Jharkhand,West Singhbhum,55,26,0,0,
2020-06-20,Jammu and Kashmir,Anantnag,591,425,5,0,
2020-06-20,Jammu and Kashmir,Bandipora,260,214,1,0,
2020-06-20,Jammu and Kashmir,Baramulla,582,267,13,0,
2020-06-20,Jammu and Kashmir,Budgam,311,129,6,0,
2020-06-20,Jammu and Kashmir,Doda,67,39,1,0,
2020-06-20,Jammu and Kashmir,Ganderbal,67,58,0,0,
2020-06-20,Jammu and Kashmir,Jammu,309,193,7,0,
2020-06-20,Jammu and Kashmir,Kathua,189,102,0,0,
2020-06-20,Jammu and Kashmir,Kishtwar,24,8,0,0,
2020-06-20,Jammu and Kashmir,Kulgam,675,473,9,0,
2020-06-20,Jammu and Kashmir,Kupwara,435,315,5,0,
2020-06-20,Jammu and Kashmir,Pulwama,312,70,3,0,
2020-06-20,Jammu and Kashmir,Punch,108,57,0,0,
2020-06-20,Jammu and Kashmir,Rajouri,74,35,1,0,
2020-06-20,Jammu and Kashmir,Ramban,207,116,0,0,
2020-06-20,Jammu and Kashmir,Reasi,32,22,0,0,
2020-06-20,Jammu and Kashmir,Samba,127,50,0,0,
2020-06-20,Jammu and Kashmir,Shopiyan,614,420,10,0,
2020-06-20,Jammu and Kashmir,Srinagar,641,226,19,0,
2020-06-20,Jammu and Kashmir,Udhampur,209,117,1,0,
2020-06-20,Karnataka,Bagalkote,117,94,1,0,9046.0
2020-06-20,Karnataka,Ballari,402,98,2,0,14133.0
2020-06-20,Karnataka,Belagavi,309,279,1,0,16796.0
2020-06-20,Karnataka,Bengaluru Rural,47,11,1,0,3103.0
2020-06-20,Karnataka,Bengaluru Urban,1076,394,61,1,77409.0
2020-06-20,Karnataka,Bidar,484,266,13,0,34422.0
2020-06-20,Karnataka,Chamarajanagara,2,1,0,0,4033.0
2020-06-20,Karnataka,Chikkaballapura,163,146,2,1,13471.0
2020-06-20,Karnataka,Chikkamagaluru,36,19,1,0,4234.0
2020-06-20,Karnataka,Chitradurga,43,38,0,0,4033.0
2020-06-20,Karnataka,Dakshina Kannada,418,201,6,2,11295.0
2020-06-20,Karnataka,Davanagere,248,220,7,0,13531.0
2020-06-20,Karnataka,Dharwad,183,63,3,0,21923.0
2020-06-20,Karnataka,Gadag,60,39,2,0,7603.0
2020-06-20,Karnataka,Hassan,286,195,1,0,9545.0
2020-06-20,Karnataka,Haveri,39,21,0,0,9431.0
2020-06-20,Karnataka,Kalaburagi,1160,688,11,0,47827.0
2020-06-20,Karnataka,Kodagu,3,1,0,0,4518.0
2020-06-20,Karnataka,Kolar,56,32,0,0,8824.0
2020-06-20,Karnataka,Koppal,28,11,1,0,7355.0
2020-06-20,Karnataka,Mandya,364,321,0,0,13614.0
2020-06-20,Karnataka,Mysuru,149,110,0,0,16490.0
2020-06-20,Karnataka,Other State,36,32,3,0,
2020-06-20,Karnataka,Raichur,429,237,2,0,19412.0
2020-06-20,Karnataka,Ramanagara,87,6,1,0,4896.0
2020-06-20,Karnataka,Shivamogga,109,85,1,0,11381.0
2020-06-20,Karnataka,Tumakuru,46,31,2,0,13294.0
2020-06-20,Karnataka,Udupi,1063,953,2,0,13934.0
2020-06-20,Karnataka,Uttara Kannada,130,93,0,0,7842.0
2020-06-20,Karnataka,Vijayapura,247,210,7,0,23799.0
2020-06-20,Karnataka,Yadgir,877,498,1,0,21083.0
2020-06-20,Kerala,Alappuzha,168,76,1,0,
2020-06-20,Kerala,Ernakulam,158,52,1,1,
2020-06-20,Kerala,Idukki,72,34,0,0,
2020-06-20,Kerala,Kannur,340,223,5,0,
2020-06-20,Kerala,Kasaragod,396,284,0,0,
2020-06-20,Kerala,Kollam,222,90,1,0,
2020-06-20,Kerala,Kottayam,139,59,0,0,
2020-06-20,Kerala,Kozhikode,196,96,1,0,
2020-06-20,Kerala,Malappuram,333,110,3,0,
2020-06-20,Kerala,Palakkad,350,205,1,1,
2020-06-20,Kerala,Pathanamthitta,185,64,1,0,
2020-06-20,Kerala,Thiruvananthapuram,152,109,4,0,
2020-06-20,Kerala,Thrissur,260,120,3,0,
2020-06-20,Kerala,Wayanad,69,44,1,0,
2020-06-20,Ladakh,Kargil,623,51,0,0,6033.0
2020-06-20,Ladakh,Leh,213,66,1,0,6805.0
2020-06-20,Maharashtra,Ahmednagar,273,208,11,0,
2020-06-20,Maharashtra,Akola,1164,753,59,1,
2020-06-20,Maharashtra,Amravati,416,278,21,0,
2020-06-20,Maharashtra,Aurangabad,3273,1787,173,0,11800.0
2020-06-20,Maharashtra,Beed,84,62,3,0,
2020-06-20,Maharashtra,Bhandara,71,49,0,0,3422.0
2020-06-20,Maharashtra,Buldhana,156,104,5,0,
2020-06-20,Maharashtra,Chandrapur,58,40,0,0,
2020-06-20,Maharashtra,Dhule,483,321,46,1,
2020-06-20,Maharashtra,Gadchiroli,54,43,1,0,
2020-06-20,Maharashtra,Gondia,101,69,0,0,
2020-06-20,Maharashtra,Hingoli,252,203,1,0,
2020-06-20,Maharashtra,Jalgaon,2183,1136,182,0,
2020-06-20,Maharashtra,Jalna,360,230,11,0,
2020-06-20,Maharashtra,Kolhapur,739,666,8,0,
2020-06-20,Maharashtra,Latur,212,136,11,0,
2020-06-20,Maharashtra,Mumbai,65329,32867,3561,8,287384.0
2020-06-20,Maharashtra,Nagpur,1271,809,13,0,19891.0
2020-06-20,Maharashtra,Nanded,279,175,11,0,
2020-06-20,Maharashtra,Nandurbar,83,36,5,0,
2020-06-20,Maharashtra,Nashik,2635,1449,145,0,17266.0
2020-06-20,Maharashtra,Osmanabad,169,126,6,0,
2020-06-20,Maharashtra,Other State,112,0,20,0,
2020-06-20,Maharashtra,Palghar,3225,1045,88,0,
2020-06-20,Maharashtra,Parbhani,84,74,4,0,
2020-06-20,Maharashtra,Pune,15286,8324,587,0,100757.0
2020-06-20,Maharashtra,Raigad,2399,1519,89,2,3101.0
2020-06-20,Maharashtra,Ratnagiri,482,330,17,0,
2020-06-20,Maharashtra,Sangli,282,156,7,0,
2020-06-20,Maharashtra,Satara,823,565,38,1,
2020-06-20,Maharashtra,Sindhudurg,163,125,4,0,
2020-06-20,Maharashtra,Solapur,2178,1000,172,0,5500.0
2020-06-20,Maharashtra,Thane,23212,9284,675,1,
2020-06-20,Maharashtra,Wardha,14,11,1,0,
2020-06-20,Maharashtra,Washim,70,17,2,0,
2020-06-20,Maharashtra,Yavatmal,230,156,7,0,
2020-06-20,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-20,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-20,Meghalaya,South West Garo Hills,5,4,0,0,
2020-06-20,Meghalaya,Unknown,1,5,0,0,
2020-06-20,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-20,Meghalaya,West Jaintia Hills,5,1,0,0,
2020-06-20,Meghalaya,West Khasi Hills,1,0,0,0,
2020-06-20,Manipur,Bishnupur,74,6,0,0,
2020-06-20,Manipur,Chandel,14,4,0,0,
2020-06-20,Manipur,Churachandpur,94,42,0,0,
2020-06-20,Manipur,Imphal East,30,9,0,0,
2020-06-20,Manipur,Imphal West,62,31,0,0,
2020-06-20,Manipur,Jiribam,2,2,0,0,
2020-06-20,Manipur,Kakching,47,13,0,0,
2020-06-20,Manipur,Kamjong,27,15,0,0,
2020-06-20,Manipur,Kangpokpi,78,14,0,0,
2020-06-20,Manipur,Noney,22,12,0,0,
2020-06-20,Manipur,Pherzawl,32,3,0,0,
2020-06-20,Manipur,Senapati,67,5,0,0,
2020-06-20,Manipur,Tamenglong,93,16,0,0,
2020-06-20,Manipur,Tengnoupal,14,13,0,0,
2020-06-20,Manipur,Thoubal,33,19,0,0,
2020-06-20,Manipur,Ukhrul,88,14,0,0,
2020-06-20,Manipur,Unknown,0,14,0,0,
2020-06-20,Madhya Pradesh,Agar Malwa,16,13,1,0,
2020-06-20,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-20,Madhya Pradesh,Anuppur,29,25,0,0,991.0
2020-06-20,Madhya Pradesh,Ashoknagar,42,40,1,0,2084.0
2020-06-20,Madhya Pradesh,Balaghat,17,11,0,0,990.0
2020-06-20,Madhya Pradesh,Barwani,76,60,3,0,
2020-06-20,Madhya Pradesh,Betul,43,36,0,0,
2020-06-20,Madhya Pradesh,Bhind,138,103,0,0,3266.0
2020-06-20,Madhya Pradesh,Bhopal,2457,1707,78,0,81832.0
2020-06-20,Madhya Pradesh,Burhanpur,389,349,23,0,5468.0
2020-06-20,Madhya Pradesh,Chhatarpur,49,41,0,0,1483.0
2020-06-20,Madhya Pradesh,Chhindwara,31,16,2,0,1509.0
2020-06-20,Madhya Pradesh,Damoh,29,26,0,0,1184.0
2020-06-20,Madhya Pradesh,Datia,21,18,1,0,236.0
2020-06-20,Madhya Pradesh,Dewas,198,123,10,0,5438.0
2020-06-20,Madhya Pradesh,Dhar,143,130,5,0,2805.0
2020-06-20,Madhya Pradesh,Dindori,30,29,0,0,2286.0
2020-06-20,Madhya Pradesh,Guna,12,8,1,0,2092.0
2020-06-20,Madhya Pradesh,Gwalior,286,223,2,0,21448.0
2020-06-20,Madhya Pradesh,Harda,24,3,1,0,421.0
2020-06-20,Madhya Pradesh,Hoshangabad,41,34,3,0,766.0
2020-06-20,Madhya Pradesh,Indore,4288,3168,193,0,71397.0
2020-06-20,Madhya Pradesh,Jabalpur,335,264,13,0,10449.0
2020-06-20,Madhya Pradesh,Jhabua,15,12,1,0,
2020-06-20,Madhya Pradesh,Katni,14,3,1,0,400.0
2020-06-20,Madhya Pradesh,Khandwa,284,255,17,0,4724.0
2020-06-20,Madhya Pradesh,Khargone,240,192,14,0,3011.0
2020-06-20,Madhya Pradesh,Mandla,5,4,1,0,
2020-06-20,Madhya Pradesh,Mandsaur,101,85,9,0,2967.0
2020-06-20,Madhya Pradesh,Morena,157,138,1,0,3188.0
2020-06-20,Madhya Pradesh,Narsinghpur,26,17,0,0,2131.0
2020-06-20,Madhya Pradesh,Neemuch,416,368,7,0,4804.0
2020-06-20,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-20,Madhya Pradesh,Panna,26,21,0,0,
2020-06-20,Madhya Pradesh,Raisen,91,77,5,0,1867.0
2020-06-20,Madhya Pradesh,Rajgarh,62,32,5,0,1618.0
2020-06-20,Madhya Pradesh,Ratlam,133,90,6,0,2882.0
2020-06-20,Madhya Pradesh,Rewa,42,36,1,0,
2020-06-20,Madhya Pradesh,Sagar,281,213,18,0,5789.0
2020-06-20,Madhya Pradesh,Satna,24,20,2,0,2157.0
2020-06-20,Madhya Pradesh,Sehore,11,9,2,0,1087.0
2020-06-20,Madhya Pradesh,Seoni,4,2,0,0,
2020-06-20,Madhya Pradesh,Shahdol,16,13,0,0,756.0
2020-06-20,Madhya Pradesh,Shajapur,48,36,3,0,1234.0
2020-06-20,Madhya Pradesh,Sheopur,63,47,2,0,1436.0
2020-06-20,Madhya Pradesh,Shivpuri,22,20,0,0,2551.0
2020-06-20,Madhya Pradesh,Sidhi,17,17,0,0,
2020-06-20,Madhya Pradesh,Singrauli,13,12,0,0,
2020-06-20,Madhya Pradesh,Tikamgarh,22,12,1,0,
2020-06-20,Madhya Pradesh,Ujjain,835,673,67,0,13824.0
2020-06-20,Madhya Pradesh,Umaria,10,9,1,0,920.0
2020-06-20,Madhya Pradesh,Vidisha,42,37,0,0,1980.0
2020-06-20,Mizoram,Aizawl,32,3,0,0,
2020-06-20,Mizoram,Champhai,8,0,0,0,
2020-06-20,Mizoram,Khawzawl,3,0,0,0,
2020-06-20,Mizoram,Kolasib,11,6,0,0,
2020-06-20,Mizoram,Lawngtlai,8,0,0,0,
2020-06-20,Mizoram,Lunglei,46,0,0,0,
2020-06-20,Mizoram,Mamit,18,0,0,0,
2020-06-20,Mizoram,Saiha,8,0,0,0,
2020-06-20,Mizoram,Saitual,3,0,0,0,
2020-06-20,Mizoram,Serchhip,3,0,0,0,
2020-06-20,Nagaland,Dimapur,30,4,0,0,896.0
2020-06-20,Nagaland,Kiphire,4,0,0,0,18.0
2020-06-20,Nagaland,Kohima,11,0,0,0,485.0
2020-06-20,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-20,Nagaland,Mon,48,0,0,0,45.0
2020-06-20,Nagaland,Others,3,0,0,0,
2020-06-20,Nagaland,Peren,84,2,0,0,11.0
2020-06-20,Nagaland,Phek,1,0,0,0,28.0
2020-06-20,Nagaland,Tuensang,11,0,0,0,1.0
2020-06-20,Nagaland,Unknown,0,132,0,0,
